FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          688   689   100          100          0.04           100.00%
1          688   690   100          100          0.04           100.00%
2          688   691   100          100          0.04           100.00%
3          688   692   100          100          0.04           100.00%
4          688   693   100          100          0.04           100.00%
5          688   694   100          100          0.04           100.00%
6          688   695   100          100          0.04           100.00%
7          688   696   100          100          0.00           100.00%
8          688   697   100          100          0.04           100.00%
9          688   698   100          100          0.04           100.00%
10         688   699   100          100          0.04           100.00%
11         688   700   100          100          0.02           100.00%
12         688   701   100          100          0.04           100.00%
13         688   702   100          100          0.02           100.00%
14         688   703   100          100          0.00           100.00%
15         688   704   100          100          0.00           100.00%
16         688   705   100          100          0.04           100.00%
17         688   706   100          100          0.04           100.00%
18         688   707   100          100          0.04           100.00%
19         688   708   100          100          0.04           100.00%
20         688   709   100          100          0.04           100.00%
21         688   710   100          100          0.04           100.00%
22         688   711   100          100          0.00           100.00%
23         688   712   100          100          0.00           100.00%
24         688   713   100          100          0.02           100.00%
25         688   714   100          100          0.04           100.00%
26         688   715   100          100          0.04           100.00%
27         688   716   100          100          0.02           100.00%
28         688   717   100          100          0.04           100.00%
29         688   718   100          100          0.04           100.00%
30         688   719   100          100          0.00           100.00%
31         688   720   100          100          0.00           100.00%
32         688   721   100          100          0.04           100.00%
33         688   722   100          100          0.04           100.00%
34         688   723   100          100          0.04           100.00%
35         688   724   100          100          0.04           100.00%
36         688   725   100          100          0.04           100.00%
37         688   726   100          100          0.02           100.00%
38         688   727   100          100          0.00           100.00%
39         688   728   100          100          0.00           100.00%
40         688   729   100          100          0.02           100.00%
41         688   730   100          100          0.02           100.00%
42         688   731   100          100          0.04           100.00%
43         688   732   100          100          0.04           100.00%
44         688   733   100          100          0.04           100.00%
45         688   734   100          100          0.04           100.00%
46         688   735   100          100          0.00           100.00%
47         688   736   100          100          0.00           100.00%
48         688   737   100          100          0.04           100.00%
49         688   738   100          100          0.04           100.00%
50         688   739   100          100          0.04           100.00%
51         688   740   100          100          0.04           100.00%
52         688   741   100          100          0.02           100.00%
53         688   742   100          100          0.04           100.00%
54         688   743   100          100          0.00           100.00%
55         688   744   100          100          0.00           100.00%
56         688   745   100          100          0.04           100.00%
57         688   746   100          100          0.04           100.00%
58         688   747   100          100          0.04           100.00%
59         688   748   100          100          0.04           100.00%
60         688   749   100          100          0.04           100.00%
61         688   750   100          100          0.04           100.00%
62         688   751   100          100          0.00           100.00%
63         688   752   100          100          0.00           100.00%
64         688   753   100          100          0.02           100.00%
65         688   754   100          100          0.02           100.00%
66         688   755   100          100          0.02           100.00%
67         688   756   100          100          0.04           100.00%
68         688   757   100          100          0.02           100.00%
69         688   758   100          100          0.04           100.00%
70         688   759   100          100          0.00           100.00%
71         688   760   100          100          0.00           100.00%
72         688   761   100          100          0.04           100.00%
73         688   762   100          100          0.04           100.00%
74         688   763   100          100          0.02           100.00%
75         688   764   100          100          0.04           100.00%
76         688   765   100          100          0.04           100.00%
77         688   766   100          100          0.04           100.00%
78         688   767   100          100          0.00           100.00%
79         688   768   100          100          0.00           100.00%
80         688   769   100          100          0.04           100.00%
81         688   770   100          100          0.04           100.00%
82         688   771   100          100          0.02           100.00%
83         688   772   100          100          0.04           100.00%
84         688   773   100          100          0.04           100.00%
85         688   774   100          100          0.04           100.00%
86         688   775   100          100          0.00           100.00%
87         688   776   100          100          0.00           100.00%
88         688   777   100          100          0.04           100.00%
89         688   778   100          100          0.02           100.00%
90         688   779   100          100          0.04           100.00%
91         688   780   100          100          0.04           100.00%
92         688   781   100          100          0.04           100.00%
93         688   782   100          100          0.04           100.00%
94         688   783   100          100          0.00           100.00%
95         688   784   100          100          0.00           100.00%
96         688   785   100          100          0.04           100.00%
97         688   786   100          100          0.04           100.00%
98         688   787   100          100          0.02           100.00%
99         688   788   100          100          0.02           100.00%
100        688   789   100          100          0.04           100.00%
101        688   790   100          100          0.04           100.00%
102        688   791   100          100          0.00           100.00%
103        688   792   100          100          0.00           100.00%
104        688   793   100          100          0.04           100.00%
105        688   794   100          100          0.04           100.00%
106        688   795   100          100          0.04           100.00%
107        688   796   100          100          0.04           100.00%
108        688   797   100          100          0.02           100.00%
109        688   798   100          100          0.04           100.00%
110        688   799   100          100          0.00           100.00%
111        688   800   100          100          0.00           100.00%
112        688   801   100          100          0.04           100.00%
113        688   802   100          100          0.02           100.00%
114        688   803   100          100          0.04           100.00%
115        688   804   100          100          0.02           100.00%
116        688   805   100          100          0.02           100.00%
117        688   806   100          100          0.02           100.00%
118        688   807   100          100          0.00           100.00%
119        688   808   100          100          0.00           100.00%
120        688   809   100          100          0.04           100.00%
121        688   810   100          100          0.04           100.00%
122        688   811   100          100          0.04           100.00%
123        688   812   100          100          0.04           100.00%
124        688   813   100          100          0.04           100.00%
125        688   814   100          100          0.04           100.00%
126        688   815   100          100          0.00           100.00%
127        688   816   100          100          0.00           100.00%
128        688   817   100          100          0.04           100.00%
129        688   818   100          100          0.02           100.00%
130        688   819   100          100          0.04           100.00%
131        688   820   100          100          0.04           100.00%
132        688   821   100          100          0.02           100.00%
133        688   822   100          100          0.02           100.00%
134        688   823   100          100          0.00           100.00%
135        688   824   100          100          0.00           100.00%
136        688   825   100          100          0.04           100.00%
137        688   826   100          100          0.02           100.00%
138        688   827   100          100          0.04           100.00%
139        688   828   100          100          0.04           100.00%
140        688   829   100          100          0.02           100.00%
141        688   830   100          100          0.04           100.00%
142        688   831   100          100          0.00           100.00%
143        688   832   100          100          0.00           100.00%
144        688   833   100          100          0.02           100.00%
145        688   834   100          100          0.04           100.00%
146        688   835   100          100          0.04           100.00%
147        688   836   100          100          0.02           100.00%
148        688   837   100          100          0.02           100.00%
149        688   838   100          100          0.04           100.00%
150        688   839   100          100          0.00           100.00%
151        688   840   100          100          0.00           100.00%
152        688   841   100          100          0.04           100.00%
153        688   842   100          100          0.02           100.00%
154        688   843   100          100          0.04           100.00%
155        688   844   100          100          0.04           100.00%
156        688   845   100          100          0.02           100.00%
157        688   846   100          100          0.04           100.00%
158        688   847   100          100          0.00           100.00%
159        688   848   100          100          0.01           100.00%
160        688   849   100          100          0.01           100.00%
161        688   850   100          100          0.01           100.00%
162        688   851   100          100          0.01           100.00%
163        688   852   100          100          0.01           100.00%
164        688   853   100          100          0.01           100.00%
165        688   854   100          100          0.01           100.00%
166        688   855   100          100          0.01           100.00%
167        688   856   100          100          0.01           100.00%
168        688   857   100          100          0.01           100.00%
169        688   858   100          100          0.01           100.00%
170        688   859   100          100          0.01           100.00%
171        688   860   100          100          0.01           100.00%
172        688   861   100          100          0.01           100.00%
173        688   862   100          100          0.01           100.00%
174        688   863   100          100          0.01           100.00%
175        688   864   100          100          0.01           100.00%
176        688   865   100          100          0.01           100.00%
177        688   866   100          100          0.01           100.00%
178        688   867   100          100          0.01           100.00%
179        688   868   100          100          0.01           100.00%
180        688   869   100          100          0.01           100.00%
181        688   870   100          100          0.01           100.00%
182        688   871   100          100          0.01           100.00%
183        688   872   100          100          0.01           100.00%
184        688   873   100          100          0.01           100.00%
185        688   874   100          100          0.01           100.00%
186        688   875   100          100          0.01           100.00%
187        688   876   100          100          0.01           100.00%
188        688   877   100          100          0.01           100.00%
189        688   878   100          100          0.01           100.00%
190        688   879   100          100          0.01           100.00%
191        688   880   100          100          0.01           100.00%
192        688   881   100          100          0.01           100.00%
193        688   882   100          100          0.01           100.00%
194        688   883   100          100          0.01           100.00%
195        688   884   100          100          0.01           100.00%
196        688   885   100          100          0.01           100.00%
197        688   886   100          100          0.01           100.00%
198        688   887   100          100          0.01           100.00%
199        688   888   100          100          0.01           100.00%
200        688   889   100          100          0.01           100.00%
201        688   890   100          100          0.01           100.00%
202        688   891   100          100          0.01           100.00%
203        688   892   100          100          0.01           100.00%
204        688   893   100          100          0.01           100.00%
205        688   894   100          100          0.01           100.00%
206        688   895   100          100          0.01           100.00%
207        688   896   100          100          0.01           100.00%
208        688   897   100          100          0.01           100.00%
209        688   898   100          100          0.01           100.00%
210        688   899   100          100          0.01           100.00%
211        688   900   100          100          0.01           100.00%
212        688   901   100          100          0.01           100.00%
213        688   902   100          100          0.01           100.00%
214        688   903   100          100          0.01           100.00%
215        688   904   100          100          0.01           100.00%
216        688   905   100          100          0.01           100.00%
217        688   906   100          100          0.01           100.00%
218        688   907   100          100          0.01           100.00%
219        688   908   100          100          0.01           100.00%
220        688   909   100          100          0.01           100.00%
221        688   910   100          100          0.01           100.00%
222        688   911   100          100          0.01           100.00%
223        688   912   100          100          0.01           100.00%
224        688   913   100          100          0.01           100.00%
225        688   914   100          100          0.01           100.00%
226        688   915   100          100          0.01           100.00%
227        688   916   100          100          0.01           100.00%
228        688   917   100          100          0.01           100.00%
229        688   918   100          100          0.01           100.00%
230        688   919   100          100          0.01           100.00%
231        688   920   100          100          0.01           100.00%
232        688   921   100          100          0.01           100.00%
233        688   922   100          100          0.01           100.00%
234        688   923   100          100          0.01           100.00%
235        688   924   100          100          0.01           100.00%
236        688   925   100          100          0.01           100.00%
237        688   926   100          100          0.01           100.00%
238        688   927   100          100          0.01           100.00%
239        688   928   100          100          0.01           100.00%
240        688   929   100          100          0.01           100.00%
241        688   930   100          100          0.01           100.00%
242        688   931   100          100          0.01           100.00%
243        688   932   100          100          0.01           100.00%
244        688   933   100          100          0.01           100.00%
245        688   934   100          100          0.01           100.00%
246        688   935   100          100          0.01           100.00%
247        688   936   100          100          3.01           100.00%
248        688   937   100          100          3.01           100.00%
249        688   938   100          100          0.01           100.00%
250        688   939   100          100          3.01           100.00%
251        688   940   100          100          3.01           100.00%
252        688   941   100          100          3.01           100.00%
253        688   942   100          100          3.01           100.00%
254        688   943   100          100          3.01           100.00%
255        688   944   100          100          3.01           100.00%
256        688   945   100          100          3.01           100.00%
257        688   946   100          100          3.01           100.00%
258        688   947   100          100          3.01           100.00%
259        688   948   100          100          3.01           100.00%
260        688   949   100          100          3.01           100.00%
261        688   950   100          100          3.01           100.00%
262        688   951   100          100          3.01           100.00%
263        688   952   100          100          3.01           100.00%
264        688   953   100          100          3.01           100.00%
265        688   954   100          100          3.01           100.00%
266        688   955   100          100          3.01           100.00%
267        688   956   100          100          3.01           100.00%
268        688   957   100          100          3.01           100.00%
269        688   958   100          100          3.01           100.00%
270        688   959   100          100          3.01           100.00%
271        688   960   100          100          3.01           100.00%
272        688   961   100          100          1.01           100.00%
273        688   962   100          100          1.01           100.00%
274        688   963   100          100          1.01           100.00%
275        688   964   100          100          1.01           100.00%
276        688   965   100          100          1.01           100.00%
277        688   966   100          100          1.01           100.00%
278        688   967   100          100          1.01           100.00%
279        688   968   100          100          1.01           100.00%
280        688   969   100          100          1.01           100.00%
281        688   970   100          100          1.01           100.00%
282        688   971   100          100          1.01           100.00%
283        688   972   100          100          1.01           100.00%
284        688   973   100          100          1.01           100.00%
285        688   974   100          100          1.01           100.00%
286        688   975   100          100          1.01           100.00%
287        688   976   100          100          1.01           100.00%
288        688   977   100          100          1.01           100.00%
289        688   978   100          100          1.01           100.00%
290        688   979   100          100          1.01           100.00%
291        688   980   100          100          1.01           100.00%
292        688   981   100          100          1.01           100.00%
293        688   982   100          100          1.01           100.00%
294        688   983   100          100          1.01           100.00%
295        688   984   100          100          1.01           100.00%
296        688   985   100          100          1.01           100.00%
297        688   986   100          100          1.01           100.00%
298        688   987   100          100          1.01           100.00%
299        688   988   100          100          1.01           100.00%
300        688   989   100          100          1.01           100.00%
301        688   990   100          100          1.01           100.00%
302        688   991   100          100          1.01           100.00%
303        688   992   100          100          1.01           100.00%
304        688   993   100          100          1.01           100.00%
305        688   994   100          100          1.01           100.00%
306        688   995   100          100          1.01           100.00%
307        688   996   100          100          1.01           100.00%
308        688   997   100          100          1.01           100.00%
309        688   998   100          100          1.01           100.00%
310        688   999   100          100          1.01           100.00%
311        688   1000  100          100          1.01           100.00%
312        688   1001  100          100          1.01           100.00%
313        688   1002  100          100          1.01           100.00%
314        688   1003  100          100          1.01           100.00%
315        688   1004  100          100          1.01           100.00%
316        688   1005  100          100          1.01           100.00%
317        688   1006  100          100          1.01           100.00%
318        688   1007  100          100          1.01           100.00%
319        688   1008  100          100          1.01           100.00%
320        688   1009  100          100          1.01           100.00%
321        688   1010  100          100          1.01           100.00%
322        688   1011  100          100          1.01           100.00%
323        688   1012  100          100          1.01           100.00%
324        688   1013  100          100          1.01           100.00%
325        688   1014  100          100          1.01           100.00%
326        688   1015  100          100          1.01           100.00%
327        688   1016  100          100          1.01           100.00%
328        688   1017  100          100          1.01           100.00%
329        688   1018  100          100          1.01           100.00%
330        688   1019  100          100          1.01           100.00%
331        688   1020  100          100          1.01           100.00%
332        688   1021  100          100          1.01           100.00%
333        688   1022  100          100          1.01           100.00%
334        688   1023  100          100          1.01           100.00%
335        688   1024  100          100          1.01           100.00%
336        688   1025  100          100          1.01           100.00%
337        688   1026  100          100          1.01           100.00%
338        688   1027  100          100          1.01           100.00%
339        688   1028  100          100          1.01           100.00%
340        688   1029  100          100          1.01           100.00%
341        688   1030  100          100          1.01           100.00%
342        688   1031  100          100          1.01           100.00%
343        688   1032  100          100          1.01           100.00%
344        688   1033  100          100          1.01           100.00%
345        688   1034  100          100          1.01           100.00%
346        688   1035  100          100          1.01           100.00%
347        688   1036  100          100          1.01           100.00%
348        688   1037  100          100          1.01           100.00%
349        688   1038  100          100          1.01           100.00%
350        688   1039  100          100          1.01           100.00%
351        688   1040  100          100          1.01           100.00%
352        688   1041  100          100          1.01           100.00%
353        688   1042  100          100          1.01           100.00%
354        688   1043  100          100          1.01           100.00%
355        688   1044  100          100          1.01           100.00%
356        688   1045  100          100          1.01           100.00%
357        688   1046  100          100          1.01           100.00%
358        688   1047  100          100          1.01           100.00%
359        688   1048  100          100          2.01           100.00%
360        688   1049  100          100          1.01           100.00%
361        688   1050  100          100          2.01           100.00%
362        688   1051  100          100          1.01           100.00%
363        688   1052  100          100          2.01           100.00%
364        688   1053  100          100          2.01           100.00%
365        688   1054  100          100          2.01           100.00%
366        688   1055  100          100          2.01           100.00%
367        688   1056  100          100          2.01           100.00%
368        688   1057  100          100          2.01           100.00%
369        688   1058  100          100          2.01           100.00%
370        688   1059  100          100          2.01           100.00%
371        688   1060  100          100          2.01           100.00%
372        688   1061  100          100          2.01           100.00%
373        688   1062  100          100          2.01           100.00%
374        688   1063  100          100          2.01           100.00%
375        688   1064  100          100          2.01           100.00%
376        688   1065  100          100          2.01           100.00%
377        688   1066  100          100          2.01           100.00%
378        688   1067  100          100          2.01           100.00%
379        688   1068  100          100          2.01           100.00%
380        688   1069  100          100          2.01           100.00%
381        688   1070  100          100          2.01           100.00%
382        688   1071  100          100          2.01           100.00%
383        688   1072  100          100          2.01           100.00%
384        688   1073  100          100          2.01           100.00%
385        688   1074  100          100          2.01           100.00%
386        688   1075  100          100          2.01           100.00%
387        688   1076  100          100          2.01           100.00%
388        688   1077  100          100          2.01           100.00%
389        688   1078  100          100          2.01           100.00%
390        688   1079  100          100          2.01           100.00%
391        688   1080  100          100          2.01           100.00%
392        688   1081  100          100          2.01           100.00%
393        688   1082  100          100          2.01           100.00%
394        688   1083  100          100          2.01           100.00%
395        688   1084  100          100          2.01           100.00%
396        688   1085  100          100          2.01           100.00%
397        688   1086  100          100          2.01           100.00%
398        688   1087  100          100          2.01           100.00%
399        688   1088  100          100          2.01           100.00%
400        688   1089  100          100          1.01           100.00%
401        688   1090  100          100          2.01           100.00%
402        688   1091  100          100          3.01           100.00%
403        688   1092  100          100          2.01           100.00%
404        688   1093  100          100          2.01           100.00%
405        688   1094  100          100          2.01           100.00%
406        688   1095  100          100          2.01           100.00%
407        688   1096  100          100          1.01           100.00%
408        688   1097  100          100          2.01           100.00%
409        688   1098  100          100          2.01           100.00%
410        688   1099  100          100          2.01           100.00%
411        688   1100  100          100          2.01           100.00%
412        688   1101  100          100          2.01           100.00%
413        688   1102  100          100          2.01           100.00%
414        688   1103  100          100          3.01           100.00%
415        688   1104  100          100          2.01           100.00%
416        688   1105  100          100          3.01           100.00%
417        688   1106  100          100          2.01           100.00%
418        688   1107  100          100          2.01           100.00%
419        688   1108  100          100          2.01           100.00%
420        688   1109  100          100          3.01           100.00%
421        688   1110  100          100          2.01           100.00%
422        688   1111  100          100          3.01           100.00%
423        688   1112  100          100          2.01           100.00%
424        688   1113  100          100          3.01           100.00%
425        688   1114  100          100          2.01           100.00%
426        688   1115  100          100          3.01           100.00%
427        688   1116  100          100          3.01           100.00%
428        688   1117  100          100          3.01           100.00%
429        688   1118  100          100          2.01           100.00%
430        688   1119  100          100          3.01           100.00%
431        688   1120  100          100          2.01           100.00%
432        688   1121  100          100          2.01           100.00%
433        688   1122  100          100          2.01           100.00%
434        688   1123  100          100          3.01           100.00%
435        688   1124  100          100          3.01           100.00%
436        688   1125  100          100          2.01           100.00%
437        688   1126  100          100          3.01           100.00%
438        688   1127  100          100          2.01           100.00%
439        688   1128  100          100          2.01           100.00%
440        688   1129  100          100          2.01           100.00%
441        688   1130  100          100          2.01           100.00%
442        688   1131  100          100          2.01           100.00%
443        688   1132  100          100          2.01           100.00%
444        688   1133  100          100          2.01           100.00%
445        688   1134  100          100          2.01           100.00%
446        688   1135  100          100          2.01           100.00%
447        688   1136  100          100          2.01           100.00%
448        688   1137  100          100          2.01           100.00%
449        688   1138  100          100          2.01           100.00%
450        688   1139  100          100          2.01           100.00%
451        688   1140  100          100          2.01           100.00%
452        688   1141  100          100          2.01           100.00%
453        688   1142  100          100          2.01           100.00%
454        688   1143  100          100          2.01           100.00%
455        688   1144  100          100          2.01           100.00%
456        688   1145  100          100          2.01           100.00%
457        688   1146  100          100          2.01           100.00%
458        688   1147  100          100          2.01           100.00%
459        688   1148  100          100          2.01           100.00%
460        688   1149  100          100          2.01           100.00%
461        688   1150  100          100          2.01           100.00%
462        688   1151  100          100          2.01           100.00%
463        688   1152  100          100          2.01           100.00%
464        688   1153  100          100          2.01           100.00%
465        688   1154  100          100          2.01           100.00%
466        688   1155  100          100          2.01           100.00%
467        688   1156  100          100          2.01           100.00%
468        688   1157  100          100          2.01           100.00%
469        688   1158  100          100          2.01           100.00%
470        688   1159  100          100          2.01           100.00%
471        688   1160  100          100          2.01           100.00%
472        688   1161  100          100          2.01           100.00%
473        688   1162  100          100          2.01           100.00%
474        688   1163  100          100          2.01           100.00%
475        688   1164  100          100          2.01           100.00%
476        688   1165  100          100          2.01           100.00%
477        688   1166  100          100          2.01           100.00%
478        688   1167  100          100          2.01           100.00%
479        688   1168  100          100          2.01           100.00%
480        688   1169  100          100          2.01           100.00%
481        688   1170  100          100          2.01           100.00%
482        688   1171  100          100          2.01           100.00%
483        688   1172  100          100          2.01           100.00%
484        688   1173  100          100          2.01           100.00%
485        688   1174  100          100          2.01           100.00%
486        688   1175  100          100          2.01           100.00%
487        688   1176  100          100          2.01           100.00%
488        688   1177  100          100          2.01           100.00%
489        688   1178  100          100          2.01           100.00%
490        688   1179  100          100          2.01           100.00%
491        688   1180  100          100          2.01           100.00%
492        688   1181  100          100          2.01           100.00%
493        688   1182  100          100          2.01           100.00%
494        688   1183  100          100          2.01           100.00%
495        688   1184  100          100          2.01           100.00%
496        688   1185  100          100          2.01           100.00%
497        688   1186  100          100          2.01           100.00%
498        688   1187  100          100          2.01           100.00%
499        688   1188  100          100          2.01           100.00%
500        688   1189  100          100          2.01           100.00%
501        688   1190  100          100          2.01           100.00%
502        688   1191  100          100          2.01           100.00%
503        688   1192  100          100          2.01           100.00%
504        688   1193  100          100          2.01           100.00%
505        688   1194  100          100          2.01           100.00%
506        688   1195  100          100          2.01           100.00%
507        688   1196  100          100          2.01           100.00%
508        688   1197  100          100          2.01           100.00%
509        688   1198  100          100          2.01           100.00%
510        688   1199  100          100          2.01           100.00%
