Src   Dst   Srvport  Utilized (ns)   Utilization
688   48    YES      4878            0.16%
48    16    NO       3560            0.12%
48    688   YES      3051            0.10%
48    17    NO       2944            0.10%
16    48    NO       2056            0.07%
17    48    NO       2012            0.07%
49    19    NO       368             0.01%
16    5     NO       336             0.01%
16    9     NO       304             0.01%
16    13    NO       304             0.01%
50    20    NO       304             0.01%
51    23    NO       288             0.01%
16    6     NO       272             0.01%
16    15    NO       256             0.01%
16    8     NO       248             0.01%
16    3     NO       240             0.01%
17    13    NO       240             0.01%
51    22    NO       240             0.01%
694   49    YES      228             0.01%
16    4     NO       224             0.01%
17    8     NO       224             0.01%
17    12    NO       224             0.01%
17    15    NO       224             0.01%
693   50    YES      216             0.01%
16    10    NO       208             0.01%
17    11    NO       208             0.01%
50    21    NO       208             0.01%
692   51    YES      204             0.01%
16    0     NO       192             0.01%
17    1     NO       192             0.01%
691   51    YES      192             0.01%
688   305   YES      189             0.01%
688   306   YES      189             0.01%
689   49    YES      168             0.01%
690   50    YES      168             0.01%
16    12    NO       160             0.01%
17    0     NO       160             0.01%
17    3     NO       160             0.01%
49    18    NO       160             0.01%
688   307   YES      153             0.01%
5     16    NO       144             0.00%
10    17    NO       144             0.00%
16    11    NO       144             0.00%
17    2     NO       144             0.00%
17    6     NO       144             0.00%
17    7     NO       144             0.00%
17    9     NO       144             0.00%
688   309   YES      144             0.00%
1     16    NO       136             0.00%
6     16    NO       136             0.00%
688   304   YES      135             0.00%
688   308   YES      135             0.00%
3     17    NO       132             0.00%
17    5     NO       128             0.00%
17    10    NO       128             0.00%
17    14    NO       128             0.00%
14    16    NO       120             0.00%
2     16    NO       112             0.00%
6     17    NO       112             0.00%
11    16    NO       108             0.00%
13    17    NO       108             0.00%
0     16    NO       104             0.00%
4     17    NO       104             0.00%
5     17    NO       104             0.00%
7     17    NO       104             0.00%
8     17    NO       104             0.00%
4     16    NO       100             0.00%
16    1     NO       96              0.00%
16    2     NO       96              0.00%
0     17    NO       88              0.00%
12    17    NO       88              0.00%
1     17    NO       80              0.00%
3     16    NO       80              0.00%
9     16    NO       80              0.00%
10    16    NO       80              0.00%
11    37    NO       80              0.00%
13    16    NO       80              0.00%
15    30    NO       80              0.00%
15    37    NO       80              0.00%
16    7     NO       80              0.00%
17    4     NO       80              0.00%
15    17    NO       76              0.00%
2     17    NO       72              0.00%
11    17    NO       72              0.00%
14    17    NO       72              0.00%
3     24    NO       64              0.00%
3     29    NO       64              0.00%
5     38    NO       64              0.00%
7     16    NO       64              0.00%
7     35    NO       64              0.00%
8     36    NO       64              0.00%
8     37    NO       64              0.00%
13    26    NO       64              0.00%
13    29    NO       64              0.00%
13    37    NO       64              0.00%
16    14    NO       64              0.00%
8     39    NO       56              0.00%
12    16    NO       56              0.00%
88    17    NO       56              0.00%
100   16    NO       56              0.00%
304   692   YES      54              0.00%
307   694   YES      54              0.00%
0     32    NO       48              0.00%
0     38    NO       48              0.00%
1     29    NO       48              0.00%
3     38    NO       48              0.00%
4     29    NO       48              0.00%
5     25    NO       48              0.00%
5     32    NO       48              0.00%
5     35    NO       48              0.00%
6     27    NO       48              0.00%
6     31    NO       48              0.00%
6     34    NO       48              0.00%
9     25    NO       48              0.00%
9     26    NO       48              0.00%
10    25    NO       48              0.00%
10    33    NO       48              0.00%
10    34    NO       48              0.00%
13    31    NO       48              0.00%
13    33    NO       48              0.00%
56    16    NO       48              0.00%
72    16    NO       48              0.00%
108   16    NO       48              0.00%
124   17    NO       48              0.00%
305   691   YES      45              0.00%
305   694   YES      45              0.00%
306   690   YES      45              0.00%
767   84    YES      42              0.00%
8     16    NO       40              0.00%
9     17    NO       40              0.00%
15    16    NO       40              0.00%
27    10    NO       40              0.00%
60    16    NO       40              0.00%
68    17    NO       40              0.00%
76    16    NO       40              0.00%
80    17    NO       40              0.00%
84    17    NO       40              0.00%
92    17    NO       40              0.00%
38    3     NO       36              0.00%
305   693   YES      36              0.00%
306   689   YES      36              0.00%
306   692   YES      36              0.00%
308   689   YES      36              0.00%
308   691   YES      36              0.00%
309   690   YES      36              0.00%
309   693   YES      36              0.00%
751   76    YES      36              0.00%
775   88    YES      36              0.00%
0     25    NO       32              0.00%
0     28    NO       32              0.00%
0     29    NO       32              0.00%
0     30    NO       32              0.00%
0     34    NO       32              0.00%
1     33    NO       32              0.00%
1     34    NO       32              0.00%
1     39    NO       32              0.00%
2     34    NO       32              0.00%
2     39    NO       32              0.00%
3     26    NO       32              0.00%
3     37    NO       32              0.00%
4     24    NO       32              0.00%
4     28    NO       32              0.00%
4     46    NO       32              0.00%
5     24    NO       32              0.00%
5     27    NO       32              0.00%
5     31    NO       32              0.00%
5     36    NO       32              0.00%
6     24    NO       32              0.00%
6     26    NO       32              0.00%
6     28    NO       32              0.00%
6     29    NO       32              0.00%
6     38    NO       32              0.00%
6     39    NO       32              0.00%
7     28    NO       32              0.00%
8     25    NO       32              0.00%
8     28    NO       32              0.00%
8     30    NO       32              0.00%
8     35    NO       32              0.00%
9     24    NO       32              0.00%
9     29    NO       32              0.00%
9     31    NO       32              0.00%
9     32    NO       32              0.00%
9     33    NO       32              0.00%
9     34    NO       32              0.00%
9     36    NO       32              0.00%
9     39    NO       32              0.00%
10    30    NO       32              0.00%
11    26    NO       32              0.00%
11    30    NO       32              0.00%
11    33    NO       32              0.00%
11    34    NO       32              0.00%
11    38    NO       32              0.00%
12    25    NO       32              0.00%
12    26    NO       32              0.00%
12    27    NO       32              0.00%
12    29    NO       32              0.00%
12    30    NO       32              0.00%
12    32    NO       32              0.00%
12    39    NO       32              0.00%
13    32    NO       32              0.00%
13    35    NO       32              0.00%
13    38    NO       32              0.00%
14    25    NO       32              0.00%
14    46    NO       32              0.00%
15    25    NO       32              0.00%
15    26    NO       32              0.00%
15    32    NO       32              0.00%
15    39    NO       32              0.00%
15    41    NO       32              0.00%
16    52    NO       32              0.00%
16    60    NO       32              0.00%
16    76    NO       32              0.00%
16    92    NO       32              0.00%
16    100   NO       32              0.00%
16    108   NO       32              0.00%
17    88    NO       32              0.00%
17    96    NO       32              0.00%
17    104   NO       32              0.00%
17    124   NO       32              0.00%
18    77    NO       32              0.00%
18    105   NO       32              0.00%
18    117   NO       32              0.00%
19    53    NO       32              0.00%
19    57    NO       32              0.00%
19    69    NO       32              0.00%
19    73    NO       32              0.00%
19    85    NO       32              0.00%
19    89    NO       32              0.00%
19    97    NO       32              0.00%
19    109   NO       32              0.00%
19    121   NO       32              0.00%
20    54    NO       32              0.00%
20    58    NO       32              0.00%
20    78    NO       32              0.00%
20    82    NO       32              0.00%
20    90    NO       32              0.00%
20    94    NO       32              0.00%
20    106   NO       32              0.00%
20    114   NO       32              0.00%
20    126   NO       32              0.00%
21    62    NO       32              0.00%
21    86    NO       32              0.00%
21    98    NO       32              0.00%
21    102   NO       32              0.00%
21    122   NO       32              0.00%
22    63    NO       32              0.00%
22    71    NO       32              0.00%
22    79    NO       32              0.00%
23    55    NO       32              0.00%
23    59    NO       32              0.00%
23    67    NO       32              0.00%
23    83    NO       32              0.00%
24    160   NO       32              0.00%
24    172   NO       32              0.00%
24    184   NO       32              0.00%
24    188   NO       32              0.00%
24    196   NO       32              0.00%
24    204   NO       32              0.00%
25    4     NO       32              0.00%
25    136   NO       32              0.00%
25    144   NO       32              0.00%
25    152   NO       32              0.00%
25    164   NO       32              0.00%
25    176   NO       32              0.00%
25    180   NO       32              0.00%
25    200   NO       32              0.00%
26    149   NO       32              0.00%
26    161   NO       32              0.00%
26    169   NO       32              0.00%
26    181   NO       32              0.00%
26    189   NO       32              0.00%
26    197   NO       32              0.00%
26    205   NO       32              0.00%
27    4     NO       32              0.00%
27    141   NO       32              0.00%
27    153   NO       32              0.00%
27    201   NO       32              0.00%
28    130   NO       32              0.00%
28    134   NO       32              0.00%
28    186   NO       32              0.00%
29    138   NO       32              0.00%
29    158   NO       32              0.00%
29    162   NO       32              0.00%
29    166   NO       32              0.00%
29    174   NO       32              0.00%
29    178   NO       32              0.00%
29    182   NO       32              0.00%
29    190   NO       32              0.00%
29    194   NO       32              0.00%
29    206   NO       32              0.00%
30    0     NO       32              0.00%
30    14    NO       32              0.00%
30    131   NO       32              0.00%
30    143   NO       32              0.00%
30    151   NO       32              0.00%
30    155   NO       32              0.00%
30    167   NO       32              0.00%
30    175   NO       32              0.00%
30    179   NO       32              0.00%
30    191   NO       32              0.00%
31    139   NO       32              0.00%
31    159   NO       32              0.00%
31    171   NO       32              0.00%
31    187   NO       32              0.00%
31    203   NO       32              0.00%
32    14    NO       32              0.00%
32    212   NO       32              0.00%
32    236   NO       32              0.00%
32    252   NO       32              0.00%
32    260   NO       32              0.00%
32    280   NO       32              0.00%
32    284   NO       32              0.00%
33    216   NO       32              0.00%
33    224   NO       32              0.00%
33    228   NO       32              0.00%
33    248   NO       32              0.00%
33    264   NO       32              0.00%
33    268   NO       32              0.00%
33    276   NO       32              0.00%
34    5     NO       32              0.00%
34    209   NO       32              0.00%
34    217   NO       32              0.00%
34    221   NO       32              0.00%
34    237   NO       32              0.00%
34    245   NO       32              0.00%
34    257   NO       32              0.00%
34    265   NO       32              0.00%
34    285   NO       32              0.00%
35    213   NO       32              0.00%
35    225   NO       32              0.00%
35    261   NO       32              0.00%
35    269   NO       32              0.00%
35    277   NO       32              0.00%
35    281   NO       32              0.00%
36    214   NO       32              0.00%
36    226   NO       32              0.00%
36    250   NO       32              0.00%
37    210   NO       32              0.00%
37    230   NO       32              0.00%
37    234   NO       32              0.00%
37    238   NO       32              0.00%
37    246   NO       32              0.00%
37    254   NO       32              0.00%
37    258   NO       32              0.00%
37    278   NO       32              0.00%
38    215   NO       32              0.00%
38    227   NO       32              0.00%
38    247   NO       32              0.00%
38    267   NO       32              0.00%
38    271   NO       32              0.00%
38    275   NO       32              0.00%
38    287   NO       32              0.00%
39    10    NO       32              0.00%
39    211   NO       32              0.00%
39    239   NO       32              0.00%
39    283   NO       32              0.00%
40    292   NO       32              0.00%
41    296   NO       32              0.00%
41    300   NO       32              0.00%
42    289   NO       32              0.00%
43    297   NO       32              0.00%
43    301   NO       32              0.00%
44    290   NO       32              0.00%
46    295   NO       32              0.00%
46    299   NO       32              0.00%
47    303   NO       32              0.00%
52    16    NO       32              0.00%
64    16    NO       32              0.00%
64    17    NO       32              0.00%
96    17    NO       32              0.00%
112   16    NO       32              0.00%
116   16    NO       32              0.00%
120   16    NO       32              0.00%
703   52    YES      30              0.00%
712   60    YES      30              0.00%
727   64    YES      30              0.00%
743   72    YES      30              0.00%
799   100   YES      30              0.00%
808   108   YES      30              0.00%
831   116   YES      30              0.00%
39    6     NO       28              0.00%
304   693   YES      27              0.00%
305   690   YES      27              0.00%
306   694   YES      27              0.00%
307   690   YES      27              0.00%
307   692   YES      27              0.00%
307   693   YES      27              0.00%
308   693   YES      27              0.00%
309   691   YES      27              0.00%
21    3     NO       24              0.00%
24    0     NO       24              0.00%
24    1     NO       24              0.00%
25    5     NO       24              0.00%
25    12    NO       24              0.00%
26    1     NO       24              0.00%
26    2     NO       24              0.00%
26    6     NO       24              0.00%
27    11    NO       24              0.00%
28    6     NO       24              0.00%
28    8     NO       24              0.00%
29    1     NO       24              0.00%
29    5     NO       24              0.00%
29    6     NO       24              0.00%
29    13    NO       24              0.00%
30    6     NO       24              0.00%
31    5     NO       24              0.00%
31    6     NO       24              0.00%
33    2     NO       24              0.00%
33    12    NO       24              0.00%
34    0     NO       24              0.00%
36    1     NO       24              0.00%
36    8     NO       24              0.00%
37    0     NO       24              0.00%
37    3     NO       24              0.00%
39    251   NO       24              0.00%
52    17    NO       24              0.00%
76    17    NO       24              0.00%
84    16    NO       24              0.00%
96    16    NO       24              0.00%
104   16    NO       24              0.00%
116   17    NO       24              0.00%
255   38    NO       24              0.00%
704   56    YES      24              0.00%
711   56    YES      24              0.00%
735   68    YES      24              0.00%
752   80    YES      24              0.00%
783   92    YES      24              0.00%
784   96    YES      24              0.00%
800   104   YES      24              0.00%
816   112   YES      24              0.00%
840   124   YES      24              0.00%
31    4     NO       20              0.00%
36    11    NO       20              0.00%
39    11    NO       20              0.00%
39    13    NO       20              0.00%
175   31    NO       20              0.00%
231   39    NO       20              0.00%
234   36    NO       20              0.00%
251   1091  YES      18              0.00%
304   689   YES      18              0.00%
304   691   YES      18              0.00%
304   694   YES      18              0.00%
305   689   YES      18              0.00%
305   692   YES      18              0.00%
306   691   YES      18              0.00%
306   693   YES      18              0.00%
308   692   YES      18              0.00%
308   694   YES      18              0.00%
309   689   YES      18              0.00%
309   694   YES      18              0.00%
720   64    YES      18              0.00%
728   68    YES      18              0.00%
759   80    YES      18              0.00%
776   92    YES      18              0.00%
791   96    YES      18              0.00%
792   100   YES      18              0.00%
815   108   YES      18              0.00%
832   120   YES      18              0.00%
839   120   YES      18              0.00%
847   124   YES      18              0.00%
0     24    NO       16              0.00%
0     26    NO       16              0.00%
0     33    NO       16              0.00%
0     36    NO       16              0.00%
0     37    NO       16              0.00%
0     43    NO       16              0.00%
1     26    NO       16              0.00%
1     27    NO       16              0.00%
1     28    NO       16              0.00%
1     31    NO       16              0.00%
1     36    NO       16              0.00%
1     38    NO       16              0.00%
1     41    NO       16              0.00%
1     43    NO       16              0.00%
1     44    NO       16              0.00%
2     20    NO       16              0.00%
2     24    NO       16              0.00%
2     25    NO       16              0.00%
2     26    NO       16              0.00%
2     29    NO       16              0.00%
2     30    NO       16              0.00%
2     31    NO       16              0.00%
2     32    NO       16              0.00%
2     33    NO       16              0.00%
2     37    NO       16              0.00%
2     38    NO       16              0.00%
3     22    NO       16              0.00%
3     27    NO       16              0.00%
3     30    NO       16              0.00%
3     32    NO       16              0.00%
3     33    NO       16              0.00%
3     34    NO       16              0.00%
3     35    NO       16              0.00%
3     42    NO       16              0.00%
3     44    NO       16              0.00%
3     45    NO       16              0.00%
4     23    NO       16              0.00%
4     26    NO       16              0.00%
4     27    NO       16              0.00%
4     30    NO       16              0.00%
4     31    NO       16              0.00%
4     33    NO       16              0.00%
